codigo_municipio,populacao_0_17
2606200,21549
2606309,1894
2606408,20958
2606507,5123
2606606,7748
2606705,1839
2606804,29603
2606903,2746
2607000,8713
2607109,1226
2607208,28316
2607307,9363
2607406,1281
2607505,8825
2607604,5815
2607653,9649
2607703,3296
2607752,6589
2607802,4408
2607901,154562
2607950,2883
2608008,4427
2608057,4023
2608107,6734
2608206,3876
2608255,3243
2608305,4448
2608404,3855
2608453,4651
2608503,5115
2608602,3190
2608701,3835
2608750,7424
2608800,10883
2608909,12647
2609006,6249
2609105,3123
2609154,7891
2609204,2813
2609303,4326
2609402,13408
2609501,7379
2609600,77841
2609709,5477
2609808,4237
2609907,19233
2610004,14228
2610103,1937
2610202,6588
2610301,3409
2610400,5055
2610509,6995
2610608,15520
2610707,78837
2610806,6383
2610905,16654
2611002,10369
2611101,110307
2611200,2857
2611309,6917
2611408,3813
2611507,5165
2611533,1793
2611606,319633
2611705,4996
2611804,8594
2611903,6074
2612000,2346
2612109,1338
2612208,17634
2612307,3818
2612406,5042
2612455,3734
2612471,3275
2612505,26679
2612554,3253
2612604,12873
2612703,3734
2612802,2801
2612901,3708
2613008,14369
2613107,9868
2613206,6784
2613305,5422
2613404,5681
2613503,9623
2613602,7647
2613701,27731
2613800,4463
2613909,25033
2614006,5126
2614105,8580
2614204,11407
2614303,2849
2614402,1484
2614501,15773
2614600,7423
2614709,3405
2614808,7302
2614857,7117
2615003,6443
2615102,1873
2615201,2221
2615300,11321
2615409,12140
2615508,3812
2615607,9498
2615706,3395
2615805,8217
2615904,2051
2616001,4702
2616100,2554
2616183,1875
2616209,5834
2616308,6959
2616407,32753
2616506,3423
2700102,5690
2700201,3791
2700300,63413
2700409,11496
2700508,5023
2700607,2323
2700706,4837
2700805,1237
2700904,1751
2701001,5729
2701100,3039
2701209,2992
2701308,5096
2701357,1999
2701407,9448
2701506,2255
2701605,5052
2701704,4429
2701803,2986
2701902,1813
2702009,2975
2702108,4906
2702207,1534
2702306,14918
2702355,7664
2702405,14691
2702504,2741
2702553,4003
2702603,6452
2702702,1171
2702801,2777
2702900,10680
2703007,4240
2703106,6644
2703205,6070
2703304,5096
2703403,1551
2703502,1535
2703601,2918
2703700,1555
2703759,2819
2703809,5756
2703908,1190
2704005,6528
2704104,5283
2704203,7145
2704302,234605
2704401,4865
2704500,9856
2704609,2779
2704708,16843
2704807,3679
2704906,752
2705002,6818
2705101,7390
2705200,4645
2705309,1262
2705408,2190
2705507,8157
2705606,2958
2705705,6110
2705804,2662
2705903,1335
2706000,3146
2706109,3377
2706208,1286
2706307,18973
2706406,7188
2706422,3059
2706448,4024
2706505,4282
2706604,1765
2706703,16441
2706802,4742
2706901,10530
2707008,695
2707107,7173
2707206,3884
2707305,7056
2707404,2859
2707503,5956
2707602,3307
2707701,27276
2707800,2190
2707909,2005
2708006,13755
2708105,3350
2708204,1868
2708303,6244
2708402,10035
2708501,9926
2708600,14480
2708709,2446
2708808,9180
2708907,6786
2708956,3984
2709004,1505
2709103,5398
2709152,11366
2709202,7066
2709301,17532
2709400,6807
2800100,610
2800209,5179
2800308,136430
2800407,2809
2800506,4815
2800605,11172
2800670,6214
2800704,2618
2801009,4667
2801108,1101
2801207,8638
2801306,9174
2801405,5196
2801504,4198
2801603,1363
2801702,5212
2801900,942
2802007,1346
2802106,17594
2802205,1684
2802304,3841
2802403,2970
2802502,806
2802601,1491
2802700,2621
2802809,5343
2802908,25920
2803005,11576
2803104,1160
2803203,9822
2803302,4427
2803401,3929
