codigo_escola,enem_media_geral_2024,qtd_participantes_enem_2024
35124072,664.2641666666667,24
33142726,664.2611764705882,51
23065591,664.1782361733932,223
43203876,664.1355555555555,45
35108339,664.1308333333333,24
29378052,664.0972222222222,36
15152120,664.07125,32
42160081,663.971568627451,68
31379794,663.9345945945946,74
43104975,663.8921247563353,171
60015792,663.8666666666667,3
31004952,663.8438759689923,86
35161123,663.7996610169491,59
35141434,663.7868571428571,70
26175240,663.7045283018867,53
31127965,663.688947368421,38
35113426,663.622641509434,53
33089825,663.6176923076923,52
26122162,663.5929213483147,178
15038491,663.4968992248062,86
31369977,663.3783673469388,49
35457334,663.3745454545455,11
35124394,663.37,30
31356999,663.3583333333333,12
60006414,663.3399999999999,8
60006458,663.2222222222222,9
28032799,663.2040625,64
23277149,663.2006451612904,31
42121191,663.1724747474747,132
35500033,663.1241025641025,52
60020722,662.9371428571429,7
29354900,662.9215789473684,38
60010499,662.8399999999999,5
53017293,662.8341242937853,59
24285323,662.7194285714286,35
35150435,662.679090909091,44
60012916,662.6457142857143,7
35127991,662.6266666666667,6
35133115,662.6252830188679,53
33106754,662.5857142857143,21
31310841,662.5421052631579,19
52095940,662.4866666666667,19
31238082,662.43875,16
11049723,662.4347826086956,23
35165943,662.365,24
35161861,662.3419819819819,74
42114357,662.2306666666667,15
31007111,662.219298245614,38
31328294,662.2014634146341,41
60019954,662.1999999999999,3
33180580,662.122,30
15174476,662.0590058479532,114
26190559,662.0585714285714,14
25093096,662.0492307692307,39
17056489,662.024,20
29447518,661.9952252252252,74
42011620,661.9852736318409,67
24057207,661.9534615384616,52
60020828,661.868,5
31041262,661.8347791164658,83
52089630,661.7891774891775,77
35007152,661.7876923076923,13
29064139,661.7592592592592,27
35197440,661.7483333333333,12
31369616,661.7096666666667,60
35112288,661.6689655172413,29
31006386,661.62,17
43057152,661.600588235294,34
60029067,661.5,1
33155852,661.4444897959183,98
41071859,661.4370512820514,52
12028835,661.418947368421,38
28017803,661.4093486590039,87
35112926,661.4020512820514,13
35119039,661.3666666666667,24
42142750,661.3652631578948,19
31358428,661.2597948717948,65
33063710,661.2312499999999,16
60012963,661.2280000000001,5
35107177,661.2207106598985,197
33541221,661.1586666666667,15
23269316,661.142536231884,138
35440000,661.1261538461538,13
33161291,661.1085714285715,21
60019532,661.1016666666667,8
21273456,661.0559999999999,10
52015742,661.0386206896551,29
25093088,661.0308163265306,98
31200247,661.0202898550725,23
31268259,661.0046153846154,39
31365084,660.9926315789475,19
33149410,660.9571794871796,78
31013935,660.9536842105263,19
28032250,660.9509677419354,31
31329282,660.8828070175438,38
