codigo_escola,codigo_municipio_enem,qtd_participantes_enem,enem_media_cn,enem_media_ch,enem_media_lc,enem_media_mt,enem_media_redacao,enem_media_geral
31356816,3136702,211,557.4784688995215,571.1232227488151,577.1616113744076,638.6009569377991,783.8862559241707,625.8063507109006
31356930,3111200,13,609.1769230769231,600.7,588.5076923076923,686.5307692307692,858.4615384615385,668.6753846153847
31357030,3115300,10,541.7,538.26,532.1,589.81,678.0,575.9739999999999
31357081,3131307,47,563.5617021276596,586.4978723404256,592.736170212766,651.2063829787235,774.468085106383,633.6940425531915
31357120,3118601,60,578.55,586.8305084745763,585.7864406779661,658.4616666666666,762.3728813559322,633.2198333333333
31357138,3147006,52,519.5588235294117,540.6923076923077,555.3980769230769,572.3803921568627,757.3076923076923,588.6382051282052
31357154,3167202,22,560.1454545454545,598.1090909090909,585.9181818181819,646.6681818181819,753.6363636363636,628.8954545454545
31357251,3110509,19,514.5166666666667,536.0736842105263,547.1999999999999,561.7611111111111,720.0,577.0357894736842
31358266,3152501,22,626.6681818181819,629.540909090909,616.459090909091,727.8772727272727,801.8181818181819,680.4727272727273
31358428,3106200,58,595.9844827586206,596.7724137931035,598.7137931034483,694.1758620689654,813.448275862069,659.8189655172414
31358541,3106200,35,571.85,580.4742857142857,583.6342857142857,659.9970588235294,772.0,629.9794285714286
31359610,3117504,18,542.0833333333334,587.6055555555555,569.4055555555556,654.338888888889,797.7777777777778,630.2422222222223
31359831,3141108,23,544.8608695652174,552.695652173913,570.8130434782609,637.195652173913,738.2608695652174,608.7652173913044
31360147,3113404,16,601.50625,632.40625,615.4375,702.13125,852.5,680.79625
31361313,3169406,30,547.5642857142857,550.0166666666667,567.6800000000001,605.35,776.6666666666666,609.9420000000001
31361496,3131703,20,587.5699999999999,604.5899999999999,602.845,672.335,826.0,658.668
31361500,3167202,43,571.719512195122,568.3720930232558,578.3860465116279,631.1829268292682,737.6744186046511,616.9931782945736
31362417,3106200,14,550.1214285714285,587.6285714285714,588.5571428571428,645.1357142857142,718.5714285714286,618.0028571428572
31362735,3147907,41,545.0725,576.6146341463415,583.0926829268293,649.3774999999999,751.7073170731708,621.1076422764228
