"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100130014";"União";"208";"554";"1,90";"1588,75";"4973943,57";"1212"
"1100130015";"Belo Vista";"247";"698";"1,80";"1878,60";"2762660,42";"1212"
"1100130016";"Aliança";"223";"598";"1,97";"2198,37";"2554974,65";"1550"
"1100130017";"Cruzeiro Do Sul";"301";"745";"1,44";"2666,49";"6920010,84";"2000"
"1100130018";"Vera Cruz";"110";"280";"1,57";"2340,64";"3875775,47";"1388"
"1100130019";"Primavera";"254";"707";"1,84";"1833,76";"4142695,69";"1200"
"1100130020";"Porto Feliz";"232";"665";"1,30";"4442,12";"16915014,43";"3500"
"1100130021";"São Pedro";"171";"482";"2,16";"1740,62";"1552466,90";"1400"
"1100155001";"União";"550";"1308";"1,27";"3491,86";"17473926,99";"2110.5"
"1100155002";"Bela Floresta";"390";"998";"1,65";"3904,79";"66180660,89";"2075"
"1100155003";"Jardim Bandeirante";"499";"1336";"1,74";"2620,89";"7696468,94";"1800"
"1100155004";"Nova Ouro Preto";"1223";"3124";"1,66";"2431,00";"5785085,93";"1500"
"1100155005";"Jardim Novo Horizonte";"905";"2399";"1,66";"2065,23";"3613538,61";"1500"
"1100155006";"Jardim Novo Estado";"717";"1892";"1,75";"2270,25";"3414688,32";"1700"
"1100155007";"da Liberdade";"1049";"2625";"1,53";"3409,55";"25097744,15";"2000"
"1100155008";"Alvorada";"282";"723";"1,81";"1909,70";"2442948,54";"1212"
"1100155009";"Industrial";"429";"1209";"2,26";"1848,66";"2941481,27";"1214"
"1100155010";"Jardim Tropical";"327";"775";"1,26";"7320,78";"3151083609,33";"3000"
"1100155011";"do Incra";"258";"677";"1,66";"3432,98";"15018551,46";"2000"
"1100155012";"Jardim Aeroporto";"1683";"4486";"1,79";"1919,78";"2284546,61";"1600"
"1100189001";"Jardim Das Oliveiras";"540";"1479";"1,96";"1749,48";"2195712,01";"1289"
"1100189002";"Pioneiros";"700";"1837";"1,79";"3021,96";"10953274,27";"2100"
"1100189003";"Alvorada";"770";"2041";"1,64";"3568,62";"23372967,99";"2400"
"1100189004";"Seringal";"469";"1315";"1,55";"3597,80";"10427427,67";"2600"
"1100189005";"Nova Pimenta Bueno";"1931";"5694";"1,79";"1881,79";"1510444,78";"1400"
"1100189006";"Vila Nova";"924";"2465";"1,72";"2356,96";"8834215,68";"1600"
"1100189007";"Mutirão";"222";"669";"2,02";"2160,01";"3163556,00";"1500"
"1100189008";"C.T.G.";"757";"1973";"1,47";"2313,57";"3490446,12";"1600"
