CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,NO_DISTRITO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,LATITUDE,LONGITUDE,NU_CNPJ_MANTENEDORA
1100502,ESCOLA FAMILIA AGRICOLA CHICO MENDES,11030216,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,197.0,197.0,65.66666666666667,1100502,Novo Horizonte do Oeste,"LINHA 160 KM 4,5 NORTE",S/N,,76956000,-11.68967851,-62.0125793,2497486000140.0
1101302,INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL,11019956,4,4.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,1.0,0.0,0.0,5.0,4.0,5.0,2.0,0.0,313.0,165.0,18.33333333333333,1101302,Mirante da Serra,LINHA 60 KM 7,S/N,,76926000,-10.99084203,-62.7300682,17340112000194.0
1101492,EFA VALE DO GUAPORE,11048123,4,4.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,127.0,127.0,42.333333333333336,1101492,São Francisco do Guaporé,"BR 429 KM 65 LINHA 20 KM 3,5",,,76935000,-12.0273183,-63.9731868,7100011000192.0
1200203,ESC INSTITUTO SANTA TERESINHA,12001686,4,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,31.0,1.0,0.0,0.0,14.0,8.0,6.0,0.0,0.0,670.0,159.0,5.129032258064516,1200203,Cruzeiro do Sul,RUA DJALMA DUTRA,500,,69980000,-7.6288395,-72.6678703,4012381000260.0
1200203,ESC UNIDADE INTEGRADA SESI SENAI DO JURUA FRANCISCO LOUREIRO JOTA,12031836,4,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,6.0,16.0,6.0,391.0,0.0,0.0,1200203,Cruzeiro do Sul,RUA AFONSO PENA,910,,69980000,-7.6276485,-72.6809519,3792339000166.0
1200401,COLEGIO ADVENTISTA DE RIO BRANCO,12010928,4,3.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,30.0,1.0,0.0,6.0,17.0,12.0,6.0,3.0,0.0,1059.0,201.0,6.7,1200401,Rio Branco,MANAUS,70,LOTEAMENTO ISAURA PARENTE,69919018,-9.9612512,-67.839808,17340112002561.0
1200401,ESC CENTRO EDUCACIONAL E CULTURAL - META,12010936,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,0.0,0.0,15.0,12.0,9.0,0.0,0.0,925.0,331.0,7.522727272727272,1200401,Rio Branco,RUBENS CARNEIRO,536,ABRAÃO ALAB,69918044,-9.9711699,-67.8262699,99999999999999.0
1200401,ESC INSTITUTO IMACULADA CONCEICAO,12014370,4,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,3.0,6.0,4.0,3.0,0.0,0.0,312.0,83.0,4.611111111111111,1200401,Rio Branco,16 DE OUTUBRO,165,QUINZE,69905524,-9.9849511,-67.81097,19707997000142.0
1200401,ESC ASSOCIACAO MODELAR DE ENSINO A M E,12022969,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,3.0,8.0,7.0,3.0,3.0,0.0,391.0,109.0,7.266666666666667,1200401,Rio Branco,ANTONIO PINHEIRO SOBRINHO,521,SANTA QUITRIA,69918709,-9.948251902,-67.82584876,63605554000132.0
1200401,COLEGIO ALTERNATIVO DO ACRE,12026409,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,132.0,102.0,17.0,1200401,Rio Branco,GENERAL VIEIRA DE MELO,183,CONJUNTO ESPERANÇA,69915178,,,4206667000104.0
