CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,DS_ENDERECO,NU_ENDERECO,CO_CEP,NU_CNPJ_MANTENEDORA
3524709,COLEGIO ELEVAR MAIS,35009545,4,1.0,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,95.0,24.0,3.4285714285714284,3524709,MARIA ANGELA,269,13919130,24489797000109.0
3524709,COLEGIO MACK GENIUS,35011141,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,238.0,51.0,3.923076923076923,3524709,MARANHAO,2350,13912812,99999999999999.0
3524709,OBJETIVO DE JAGUARIUNA COLEGIO UNIDADE I,35150034,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,3.0,6.0,4.0,3.0,0.0,0.0,368.0,87.0,6.6923076923076925,3524709,PROFESSORA JULIA CALHAU RODRIGUES,552,13919438,99999999999999.0
3524709,INTEGRADO COLEGIO,35167939,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,1.0,9.0,7.0,7.0,4.0,0.0,0.0,393.0,61.0,3.05,3524709,MATO GROSSO,11,13911084,99999999999999.0
3524709,JAGUARIUNA ESCOLA SENAI,35352214,4,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,140.0,0.0,0.0,3524709,ANESIA VENTURINI ZANI,62,13911014,3774819000102.0
3524709,DA VILLA COLEGIO,35442264,4,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,123.0,18.0,1.8,3524709,EMILIO MARCONATO,218,13916140,99999999999999.0
3524808,XV DE ABRIL COLEGIO EIFM,35123473,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,1.0,7.0,5.0,4.0,3.0,0.0,0.0,146.0,11.0,0.2682926829268293,3524808,NOVE,1906,15700024,50575976000160.0
3524808,COLEGIO FERREIRA PRADO,35126779,4,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,22.0,1.0,9.0,5.0,4.0,3.0,0.0,0.0,528.0,77.0,3.5,3524808,MARIA JALLES,1066,15704082,56368202000145.0
3524808,INTEGRADA RUI BARBOSA ESCOLA,35144885,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,6.0,5.0,6.0,3.0,0.0,0.0,673.0,145.0,7.25,3524808,CANDIDO PORTINARI,64,15700250,63891972000133.0
3524808,CASTILHO SANTOS CENTRO EDUCACIONAL,35159578,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,0.0,5.0,7.0,3.0,0.0,0.0,489.0,119.0,7.933333333333334,3524808,BELEM,2585,15706417,10991211000197.0
3525003,CENTRO EDUCACIONAL SESI 440,35005116,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,10.0,8.0,6.0,4.0,0.0,762.0,190.0,10.555555555555555,3525003,EMILIO GUERRA,SN,6604200,3779133000104.0
3525003,ALVES COLEGIO,35109356,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12.0,1.0,2.0,5.0,7.0,3.0,0.0,0.0,337.0,74.0,6.166666666666667,3525003,EDUARDO ALVES,40,6602140,99999999999999.0
3525003,ELYTE INSTITUTO EDUCACIONAL,35126895,4,1.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,13.0,1.0,0.0,7.0,8.0,3.0,0.0,0.0,417.0,83.0,6.384615384615385,3525003,HENRIQUE SAMMARTINO,100,6600160,99999999999999.0
3525003,RUI BARBOSA COLEGIO,35139622,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,34.0,1.0,6.0,15.0,9.0,5.0,1.0,0.0,826.0,121.0,3.5588235294117645,3525003,WILLIAN WADELL,311,6606000,51243137000108.0
3525003,SAGRADA FAMILIA ESCOLA,35143947,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,1.0,9.0,11.0,8.0,4.0,0.0,0.0,602.0,66.0,2.869565217391304,3525003,PAPA JOAO XXIII,17B C,6600120,57387078000128.0
