CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,qt_mat_med_2025,mat_por_sala,codigo_municipio,qt_mat_med_2023,crescimento_pct
1500800,CENTRO EDUCACIONAL FONTE DO SABER,15209806,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,5.0,4.0,3.0,0.0,0.0,282.0,27.0,3.0,1500800,16.0,68.8
1500800,CENTRO EDUC NSRA DE FATIMA,15523403,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,180.0,25.0,1.25,1500800,74.0,-66.2
1500800,COLEGIO ASPECTO EIRELI,15549704,4,1.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,298.0,129.0,10.75,1500800,116.0,11.2
1500800,ESCOLA MADRE CELESTE,15563448,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,3.0,9.0,8.0,3.0,0.0,0.0,483.0,142.0,5.68,1500800,173.0,-17.9
1500800,COLEGIO SUPREMO DA AMAZONIA,15565793,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,13.0,1.0,0.0,5.0,5.0,3.0,1.0,0.0,364.0,117.0,9.0,1500800,149.0,-21.5
1500800,COLEGIO SISTEMA SOCIEDADE CIVIL LTDA,15567648,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,5.0,8.0,3.0,0.0,0.0,498.0,159.0,13.25,1500800,236.0,-32.6
1500800,COLEGIO IMPACTO,15570479,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,404.0,226.0,11.894736842105264,1500800,329.0,-31.3
1500800,CENTRO DE ENSINO PLENO IDEAL,15570533,4,1.0,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,1.0,3.0,5.0,5.0,7.0,7.0,0.0,632.0,355.0,14.791666666666666,1500800,320.0,10.9
1500800,COLEGIO INTELECTUAL,15572005,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,520.0,167.0,10.4375,1500800,189.0,-11.6
1501303,CENTRO EDUCACIONAL IVANILSON COSTA,15161943,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,5.0,4.0,1.0,0.0,2.0,251.0,7.0,1.0,1501303,34.0,-79.4
