codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,produto_alvo,enem_media_geral_2024,qtd_participantes_enem_2024,enem_media_2anos,delta_enem_2025_2024
43104959,COLEGIO MARISTA CHAMPAGNAT,4314902,25.0,61,Outras posições,False,622.4841830065359,51.0,5.0,241.0,0.7139,Poliedro,626.1710502283105,73.0,624.6546774193548,-3.6868672217746052
22135790,ORGANIZACAO EDUCACIONAL APOIO LTDA,2207702,4.0,11,Desafiante (2º-5º local),False,644.0141935483871,31.0,3.0,104.0,0.7135,Poliedro,573.2115789473685,19.0,617.1092,70.8026146010186
35153795,ELITE REDE DE ENSINO,3525300,5.0,10,Desafiante (2º-5º local),False,651.6701075268818,31.0,2.0,125.0,0.7135,Poliedro,,,651.6701075268818,
41377370,COLGIO BOM JESUS MARINGA - EDUCAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4115200,2.0,21,Desafiante (2º-5º local),False,622.438,10.0,5.0,64.0,0.7135,Poliedro,595.4261538461539,13.0,607.1704347826087,27.011846153846136
42015588,ESC BARAO DO RIO BRANCO,4202404,3.0,9,Desafiante (2º-5º local),False,626.6836815920398,67.0,5.0,371.0,0.7134,Poliedro,612.8713725490196,51.0,620.7139548022598,13.81230904302015
29433002,COOPERATIVA EDUCACIONAL DE BARREIRAS,2903201,3.0,6,Desafiante (2º-5º local),False,631.6961904761904,14.0,4.0,57.0,0.713,Poliedro,644.2290909090909,11.0,637.2106666666666,-12.532900432900533
24003662,COLEGIO MENINO DEUS LTDA,2408003,5.0,14,Desafiante (2º-5º local),False,622.2292307692308,13.0,5.0,86.0,0.7127,Poliedro,616.7417391304348,23.0,618.7233333333334,5.487491638795973
21182345,COLEGIO EDUCAR DOM BOSCO,2101400,2.0,5,Desafiante (2º-5º local),False,625.6721505376344,62.0,4.0,264.0,0.7121,Poliedro,591.6048648648649,74.0,607.1355392156863,34.06728567276946
53020057,ESC SEB AZ BRASILIA,5300108,34.0,117,Outras posições,False,626.4049382716049,81.0,5.0,225.0,0.712,Poliedro,639.5521066666666,125.0,634.3825889967637,-13.147168395061726
35158616,ANGLO SISTEMA DE ENSINO,3554003,1.0,6,Líder local,False,650.9325714285715,35.0,2.0,143.0,0.712,Poliedro,639.7354545454546,44.0,644.6962025316456,11.197116883116905
31358541,COLEGUIUM - UNIDADE CARLOS PRATES,3106200,61.0,110,Outras posições,False,629.9794285714286,35.0,4.0,106.0,0.7115,Poliedro,645.7994285714285,35.0,637.8894285714285,-15.819999999999936
31361500,COLEGIO PROFESSOR ROBERTO HERBSTER GUSMAO,3167202,7.0,13,Outras posições,False,616.9931782945736,43.0,5.0,198.0,0.7112,Poliedro,599.4924031007752,43.0,608.2427906976744,17.500775193798404
26529807,COLEGIO E CURSO CP,2607901,3.0,22,Desafiante (2º-5º local),False,633.8665517241379,58.0,3.0,195.0,0.711,Poliedro,632.1110638297872,47.0,633.0807619047619,1.755487894350722
35104449,NOSSA SENHORA DAS GRACAS ESCOLA,3550308,73.0,516,Outras posições,False,626.1667543859649,76.0,5.0,239.0,0.711,Poliedro,627.3924358974359,52.0,626.6646874999999,-1.2256815114710662
