codigo_escola;segmento_golden_lead;segmento_ordem
33173990;🟡 Golden Leads (1.127);1
33175195;🟡 Golden Leads (1.127);1
33176671;🟡 Golden Leads (1.127);1
33176760;🟡 Golden Leads (1.127);1
33176825;🟡 Golden Leads (1.127);1
33177627;🟡 Golden Leads (1.127);1
33178879;🟡 Golden Leads (1.127);1
33180539;🟡 Golden Leads (1.127);1
33183031;🟡 Golden Leads (1.127);1
33183139;🟡 Golden Leads (1.127);1
33183830;🟡 Golden Leads (1.127);1
33184720;🟡 Golden Leads (1.127);1
33184739;🟡 Golden Leads (1.127);1
33185590;🟡 Golden Leads (1.127);1
33187924;🟡 Golden Leads (1.127);1
33188092;🟡 Golden Leads (1.127);1
33189137;🟡 Golden Leads (1.127);1
33189820;🟡 Golden Leads (1.127);1
33189838;🟡 Golden Leads (1.127);1
33192260;🟡 Golden Leads (1.127);1
33195340;🟡 Golden Leads (1.127);1
33196222;🟡 Golden Leads (1.127);1
33196249;🟡 Golden Leads (1.127);1
33202109;🟡 Golden Leads (1.127);1
33228604;🟡 Golden Leads (1.127);1
33249202;🟡 Golden Leads (1.127);1
33447225;🟡 Golden Leads (1.127);1
33088780;🟡 Golden Leads (1.127);1
33089825;🟡 Golden Leads (1.127);1
33092346;🟡 Golden Leads (1.127);1
33190160;🟡 Golden Leads (1.127);1
33042462;🟡 Golden Leads (1.127);1
33042560;🟡 Golden Leads (1.127);1
33042578;🟡 Golden Leads (1.127);1
33043086;🟡 Golden Leads (1.127);1
33182094;🟡 Golden Leads (1.127);1
33196770;🟡 Golden Leads (1.127);1
33032858;🟡 Golden Leads (1.127);1
33032882;🟡 Golden Leads (1.127);1
33112959;🟡 Golden Leads (1.127);1
33147450;🟡 Golden Leads (1.127);1
33163863;🟡 Golden Leads (1.127);1
33188823;🟡 Golden Leads (1.127);1
33447250;🟡 Golden Leads (1.127);1
35125659;🟡 Golden Leads (1.127);1
35132007;🟡 Golden Leads (1.127);1
35144502;🟡 Golden Leads (1.127);1
35499778;🟡 Golden Leads (1.127);1
35007668;🟡 Golden Leads (1.127);1
35132780;🟡 Golden Leads (1.127);1
35141434;🟡 Golden Leads (1.127);1
35445848;🟡 Golden Leads (1.127);1
35113335;🟡 Golden Leads (1.127);1
35801793;🟡 Golden Leads (1.127);1
35112318;🟡 Golden Leads (1.127);1
35137881;🟡 Golden Leads (1.127);1
35155664;🟡 Golden Leads (1.127);1
35304414;🟡 Golden Leads (1.127);1
35195005;🟡 Golden Leads (1.127);1
35006599;🟡 Golden Leads (1.127);1
35373886;🟡 Golden Leads (1.127);1
35441995;🟡 Golden Leads (1.127);1
35467066;🟡 Golden Leads (1.127);1
35100419;🟡 Golden Leads (1.127);1
35116828;🟡 Golden Leads (1.127);1
35123419;🟡 Golden Leads (1.127);1
35111466;🟡 Golden Leads (1.127);1
35466153;🟡 Golden Leads (1.127);1
35480617;🟡 Golden Leads (1.127);1
35125222;🟡 Golden Leads (1.127);1
35165396;🟡 Golden Leads (1.127);1
