cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Itabuna;BA;4;7;CERM - CENTRO DE ESTUDO RONALDO MENDES;29478448;0.5503;618.4;265.0;False;False;2
Itabuna;BA;5;7;COL SAO JOSE DA ACAO FRATERNAL;29304385;0.464;588.7;57.0;False;False;2
Itabuna;BA;6;7;COLEGIO ADVENTISTA DE ITABUNA;29304229;0.4113;582.5;146.0;False;False;2
Itabuna;BA;7;7;COOPERATIVA EDUCACIONAL DE ITABUNA;29304490;0.2083;550.4;94.0;False;False;2
Itajaí;SC;1;9;COC ITAJAI;42164702;0.8184;662.1;114.0;False;False;2
Itajaí;SC;2;9;CURSO E COLEGIO INTEGRAL;42159547;0.7851;653.6;228.0;True;False;2
Itajaí;SC;3;9;COLEGIO SALESIANO ITAJAI;42068690;0.6634;616.3;241.0;False;False;2
Itajaí;SC;4;9;ACBNL COLEGIO SAO JOSE;42068703;0.6333;614.6;261.0;False;False;2
Itajaí;SC;5;9;COLEGIO ADVENTISTA DE ITAJAI;42068606;0.5064;589.0;258.0;False;False;2
Itajaí;SC;6;9;COLEGIO DE APLICACAO UNIVALI;42068673;0.457;580.5;607.0;False;False;2
Itajaí;SC;7;9;COLEGIO UNIFICADO;42110599;0.3925;590.4;184.0;False;False;2
Itajaí;SC;8;9;COLEGIO CENECISTA PEDRO ANTONIO FAYAL;42068665;0.3697;570.2;38.0;False;False;2
Itajaí;SC;9;9;COLEGIO VERDES MARES;42143063;0.3201;575.5;68.0;False;False;2
Itatiba;SP;1;6;NEXT COLEGIO;35113086;0.7676;671.4;91.0;True;False;1
Itatiba;SP;2;6;LITTERATUS COLEGIO;35153126;0.7352;650.1;123.0;False;False;1
Itatiba;SP;3;6;BOM JESUS COLEGIO;35071092;0.5814;612.2;92.0;False;False;1
Itatiba;SP;4;6;ANGLO ITATIBA CURSO E COLEGIO;35811683;0.5047;612.5;185.0;False;False;1
Itatiba;SP;5;6;TRIACAO COLEGIO;35085455;0.2763;568.2;58.0;False;False;1
Itatiba;SP;6;6;OBJETIVO JUNIOR COLEGIO;35305674;0.2614;553.9;127.0;False;False;1
Jaú;SP;1;9;RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO;35115712;0.9228;696.9;115.0;False;False;2
Jaú;SP;2;9;ADV COLEGIO UNIDADE II;35299789;0.8115;655.6;158.0;True;False;2
Jaú;SP;3;9;COLEGIO PORTO ALVORADA ENSINO FUNDAMENTAL E MEDIO;35125982;0.7732;640.4;102.0;False;False;2
Jaú;SP;4;9;COLEGIO ACADEMIA;35192399;0.7409;642.0;64.0;False;False;2
Jaú;SP;5;9;ELITE REDE DE ENSINO;35153795;0.7135;651.7;125.0;False;False;2
Jaú;SP;6;9;SAO LUCAS COLEGIO;35121344;0.6844;629.4;148.0;False;False;2
Jaú;SP;7;9;COLEGIO CONEXAO;35009516;0.6739;640.6;88.0;False;False;2
Jaú;SP;8;9;PREVE JAU COLEGIO;35134429;0.6325;616.4;103.0;False;False;2
Jaú;SP;9;9;SAINT EXUPERY COLEGIO;35115708;0.5672;621.1;83.0;False;False;2
Juazeiro do Norte;CE;1;6;PARAISO SS LTDA COLEGIO;23165952;0.8428;659.2;488.0;False;False;3
Juazeiro do Norte;CE;2;6;COLEGIO MODULO;23165901;0.8149;644.0;280.0;False;False;3
Juazeiro do Norte;CE;3;6;COLEGIO EVOLUCAO;23276649;0.7108;643.9;195.0;True;False;3
Juazeiro do Norte;CE;4;6;COLEGIO EXITO DO CARIRI SS LTDA;23192020;0.5981;611.7;59.0;False;False;3
Juazeiro do Norte;CE;5;6;COLEGIO BATISTA DO CARIRI;23165049;0.5602;594.8;50.0;False;False;3
Juazeiro do Norte;CE;6;6;FCO DE ASSIS COLEGIO SAO;23165391;0.3267;576.3;47.0;False;False;3
Limeira;SP;1;13;LICEU PORTINARI DE ENSINO MEDIO;35388786;0.7992;646.9;128.0;False;False;2
Limeira;SP;2;13;SAO JOSE COLEGIO;35113426;0.7906;649.4;130.0;True;False;2
Limeira;SP;3;13;JANDYRA ANTUNES ROSA PROFESSORA COLEGIO;35152812;0.7244;629.3;85.0;False;False;2
Limeira;SP;4;13;ACADEMICO EDUCACIONAL;35130606;0.6368;637.4;45.0;False;False;2
Limeira;SP;5;13;PORTAL DE LIMEIRA COLEGIO;35811142;0.6155;621.8;118.0;False;False;2
Limeira;SP;6;13;PANDORA COLEGIO;35497997;0.6116;631.1;80.0;False;False;2
Limeira;SP;7;13;EINSTEIN DE ENSINO ORGANIZACAO;35134417;0.6092;606.2;82.0;False;False;2
Limeira;SP;8;13;LIMEIRENSE COLEGIO;35144997;0.4806;593.1;209.0;False;False;2
Limeira;SP;9;13;RUTH G FIGUEIRA COLEGIO EVANGELICO;35143789;0.3949;587.2;71.0;False;False;2
Limeira;SP;10;13;ADVENTISTA COLEGIO;35139932;0.315;573.7;88.0;False;False;2
Macaé;RJ;1;10;COLEGIO ATLANTICO MACAE;33139881;0.822;676.8;178.0;False;False;2
Macaé;RJ;2;10;COLEGIO APROVADO;33166927;0.7948;671.9;173.0;True;False;2
Macaé;RJ;3;10;COLEGIO UEDA PECANHA;33170401;0.6908;629.5;88.0;False;False;2
Macaé;RJ;4;10;COLEGIO CASTELO-INSTITUTO NOSSA SENHORA DA GLORIA;33015546;0.6682;617.4;198.0;False;False;2
Macaé;RJ;5;10;COLEGIO ADVENTISTA DE MACAE;33183228;0.6609;632.5;84.0;False;False;2
Macaé;RJ;6;10;COLEGIO BRUNO OSTMANN;33169365;0.6088;625.3;115.0;False;False;2
Macaé;RJ;7;10;LEGACY SCHOOL MACAE;33199973;0.4357;589.9;64.0;False;False;2
Macaé;RJ;8;10;CENTRO EDUCACIONAL SOUZA;33015520;0.3407;574.7;96.0;False;False;2
