codigo_municipio;populacao_total;qtd_escolas_elegiveis;qtd_escolas_com_enem;enem_media_praca;populacao_0_17;score_socioeconomico;percentil_socioeconomico;percentil_volume_escolas;percentil_qualidade_enem;score_priorizacao;nome_municipio_ibge;uf;rank_cidade;top10
2408003;264577;17,0;14,0;605,6259544879899;61785;0,2575183385542818;0,4811320754716981;0,789308176100629;0,492063492063492;0,5769;Mossoró;RN;125;False
4209300;164981;6,0;5,0;612,3704918032787;38055;0,3336498349856003;0,7327044025157232;0,3286163522012578;0,6158730158730159;0,5764;Lages;SC;126;False
3536505;110537;6,0;5,0;591,5047395833333;25646;0,4929296388852447;0,940251572327044;0,3286163522012578;0,3365079365079365;0,5756;Paulínia;SP;127;False
1302603;2063689;57,0;40,0;600,2725170068027;585839;0,2365722324712817;0,3962264150943396;0,9559748427672956;0,4253968253968254;0,5729;Manaus;AM;128;False
3131703;113343;5,0;5,0;638,5347619047619;24716;0,2702563977774956;0,550314465408805;0,2515723270440251;0,923809523809524;0,5727;Itabira;MG;129;False
3105608;125317;4,0;4,0;637,9167741935483;24712;0,289808071933013;0,6163522012578616;0,1776729559748427;0,907936507936508;0,5722;Barbacena;MG;130;False
3504008;101409;8,0;7,0;604,5637664783427;21146;0,3263646468486767;0,720125786163522;0,4685534591194968;0,473015873015873;0,5705;Assis;SP;131;False
5205109;114427;10,0;7,0;598,5292547425474;26491;0,3184574599266022;0,6918238993710691;0,5738993710691824;0,4031746031746032;0,5699;Catalão;GO;132;False
3118304;131621;5,0;4,0;649,9804081632653;27985;0,2597740752371509;0,4968553459119497;0,2515723270440251;0,984126984126984;0,5695;Conselheiro Lafaiete;MG;133;False
4127700;150470;5,0;2,0;614,7120454545455;34356;0,335066102670256;0,7389937106918238;0,2515723270440251;0,6571428571428571;0,5682;Toledo;PR;134;False
3524402;240275;15,0;12,0;586,1987167449138;54011;0,2998739704163594;0,6352201257861635;0,7468553459119497;0,2952380952380952;0,5667;Jacareí;SP;135;False
3127701;257171;4,0;3,0;639,9894999999999;56119;0,276188540010339;0,5660377358490566;0,1776729559748427;0,9301587301587302;0,5588;Governador Valadares;MG;136;False
2611101;386791;13,0;10,0;618,6468524970963;110307;0,2235649102157339;0,3553459119496855;0,6776729559748428;0,707936507936508;0,5578;Petrolina;PE;137;False
3545209;134319;6,0;4,0;615,4985093167702;30406;0,3023421278588712;0,6446540880503144;0,3286163522012578;0,6698412698412698;0,5574;Salto;SP;138;False
5107958;106434;5,0;4,0;632,6919607843137;27901;0,2694768531748281;0,5408805031446541;0,2515723270440251;0,8825396825396825;0,5566;Tangará da Serra;MT;139;False
4128104;117095;9,0;8,0;602,1662878787879;26597;0,314403196011159;0,6666666666666666;0,5251572327044025;0,4380952380952381;0,5556;Umuarama;PR;140;False
2933307;370879;15,0;13,0;610,8670550724638;91170;0,236795072791;0,3993710691823899;0,7468553459119497;0,5714285714285714;0,5552;Vitória da Conquista;BA;141;False
1100205;460434;10,0;9,0;612,1691314031181;125247;0,2603681047972724;0,5;0,5738993710691824;0,6031746031746031;0,5531;Porto Velho;RO;142;False
