codigo_escola;NO_ENTIDADE;cidade
52094111;COLEGIO DELOS LTDA;Aparecida de Goiânia
43097782;COLEGIO NOTRE DAME;Passo Fundo
23263741;CWD MAXIMUS COLEGIO;Fortaleza
33135169;GRUPO FARIA BRITO - OFICINA DA CRIANCA;Rio de Janeiro
35006190;COLEGIO PROGRESSO ITU;Itu
24285323;OVER COLEGIO E CURSO;Natal
42080746;COLEGIO CONSUL CARLOS RENAUX;Brusque
32038240;COLEGIO SAO JOSE;Vila Velha
35107773;SUICO BRASILEIRA SAO PAULO ESCOLA;São Paulo
35175420;CRESCER DE JUNDIAI COLEGIO;Jundiaí
32083343;SEB ESCOLAS DE ALTA PERFORMANCE S A;Vila Velha
23235900;COLEGIO LOURENCO FILHO - PARANGABA;Fortaleza
33088780;CENTRO EDUCACIONAL PEREIRA ROCHA;São Gonçalo
31005088;COLEGUIUM - UNIDADE INTERNACIONAL BELVEDERE;Belo Horizonte
25134167;CENTRO DE ENSINO E SERVICOS PREPARATORIOS DE VESTIBULARES LTDA;Campina Grande
33196770;COLEGIO E CURSO CARVALHO BRAGA;Teresópolis
35158823;FUTURO ESCOLA DO;São Paulo
33228604;COLEGIO E CURSO AZ - UNIDADE BOTAFOGO;Rio de Janeiro
35126044;CURSOS PROVE ESCOLA DE ENSINO FUNDAMENTAL E MEDIO;Marília
42003903;COLEGIO ELISA ANDREOLI;São José
33120544;COLEGIO E CURSO PENSI;Campos dos Goytacazes
43215360;COLEGIO FLEMING PASSO FUNDO;Passo Fundo
33176671;COLEGIO INSTITUTO MARCOS FREITAS;Rio de Janeiro
35139208;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;São Caetano do Sul
35155664;CIDADE DE ATIBAIA COLEGIO;Atibaia
29433002;COOPERATIVA EDUCACIONAL DE BARREIRAS;Barreiras
24003662;COLEGIO MENINO DEUS LTDA;Mossoró
21182345;COLEGIO EDUCAR DOM BOSCO;Balsas
53020057;ESC SEB AZ BRASILIA;Brasília
31358541;COLEGUIUM - UNIDADE CARLOS PRATES;Belo Horizonte
31361500;COLEGIO PROFESSOR ROBERTO HERBSTER GUSMAO;Sete Lagoas
35104449;NOSSA SENHORA DAS GRACAS ESCOLA;São Paulo
26529807;COLEGIO E CURSO CP;Jaboatão dos Guararapes
28037863;REDE DE ENSINO LIBERTAR LTDA;Lagarto
33189820;COLEGIO GERACAO Z LTDA;Rio de Janeiro
33160180;ENSINO MEDIO MONTEIRO LOBATO LTDA;Rio de Janeiro
32053070;ESCOLA GUIMARAES ROSA LTDA;Cachoeiro de Itapemirim
52033295;COLEGIO DINAMICO;Goiânia
33201927;PB COLEGIO E CURSO;Niterói
29494109;ESCOLA REMBRANDT;Salvador
25133985;CENTRO DE ENSINO HBS LTDA;João Pessoa
41068610;COLEGIO VICENTINO IMACULADO CORACAO DE MARIA;Toledo
43022324;COLEGIO SCALABRINIANO NOSSA SENHORA MEDIANEIRA;Bento Gonçalves
25132059;ALGORITMO COLEGIO E CURSO;João Pessoa
33187924;QI QUALIDADE INTEGRAL DE ENSINO LTDA;Rio de Janeiro
29439833;CENTRO DE EDUCACAO MARIA CELINA;Porto Seguro
31368520;CENTRO EDUCACIONAL EUROPA;Pouso Alegre
33166820;COLEGIO E CURSO PENSI;Rio de Janeiro
41377168;COLEGIO DOM BOSCO BATEL;Curitiba
29354900;INSTITUTO ASSOCIADOS SABER E CULTURA;Eunápolis
43205542;ESCOLA DE ENSINO MEDIO CAMINHO;Caxias do Sul
14000814;CENTRO DE EDUCACAO INTEGRADA COLMEIA LTDA;Boa Vista
52103994;COLEGIO SELECTUS LTDA;Águas Lindas de Goiás
32034377;COLEGIO CASTRO ALVES;Cariacica
32038720;ESCOLA SANTA ADAME;Vila Velha
35116361;SANTO ANDRE COLEGIO;São José do Rio Preto
53018273;COL IDEAL UNIDADE JARDIM BOTANICO;Brasília
