codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
53015789,COLEGIO OLIMPO AGUAS CLARAS,5300108,10,101,Outras posições,716.0402666666666,75.0,4.0,329.0,0.8454,Brasília,DF,71938000,7 SUL LOJAS 4-5-6 E 7 SALAS 101-102-201 A 207 301-307,LOTE 04,Sul (Águas Claras),Rua 7,
32077610,UP CENTRO EDUCACIONAL,3205309,8,16,Outras posições,642.6699421965318,173.0,5.0,450.0,0.8452,Vitória,ES,29062030,AVENIDA SATURNINO RANGEL MAURO,1271,Pontal de Camburi,Avenida Saturnino Rangel Mauro,
52096785,COLEGIO OLIMPO GOIANIA,5208707,8,63,Outras posições,712.3107103825137,61.0,4.0,215.0,0.8435,Goiânia,GO,74215030,T 27,1374,Setor Bueno,Rua T 27,
43108423,COLEGIO PROVINCIA DE SAO PEDRO,4314902,9,45,Outras posições,641.7426086956522,46.0,5.0,177.0,0.8428,Porto Alegre,RS,91340400,MARECHAL ANDREA,345,Boa Vista,Avenida Marechal Andréa,
31004731,COLEGIO MAGNUM AGOSTINIANO,3106200,15,88,Outras posições,707.41625,160.0,4.0,470.0,0.8412,Belo Horizonte,MG,31140360,SAO GONCALO,1364,Nova Floresta,Rua São Gonçalo,
53012860,COL GALOIS,5300108,11,101,Outras posições,700.4555115511552,101.0,4.0,358.0,0.8382,Brasília,DF,70200610,SGAS 601,601,Asa Sul,Quadra SGAS 601,
53012941,COLEGIO CIMAN,5300108,12,101,Outras posições,640.6300483091787,69.0,5.0,271.0,0.8378,Brasília,DF,70660645,AREA ESPECIAL 1/4,,Área Octogonal,Área Área Especial 1/4,
31246450,ESCOLA SESI GENERAL ONESIMO BECKER DE ARAUJO,3106200,16,88,Outras posições,640.192,50.0,5.0,215.0,0.835,Belo Horizonte,MG,30660630,MADRE PAULINA,126,Diamante (Barreiro),Rua Madre Paulina,
26194236,COLEGIO SABER VIVER - UNIDADE III,2611606,8,70,Outras posições,694.746923076923,26.0,4.0,147.0,0.8342,Recife,PE,52021180,JOAO DE BARROS,1593,Espinheiro,Avenida João de Barros,
26122090,COLEGIO PRESBITERIANO AGNES ERSKINE,2611606,9,70,Outras posições,639.6625490196079,68.0,5.0,236.0,0.8334,Recife,PE,52011040,RUI BARBOSA,704,Graças,Avenida Rui Barbosa,
53001087,C EDUCACIONAL LEONARDO DA VINCI,5300108,13,101,Outras posições,688.4783647798743,159.0,4.0,472.0,0.8292,Brasília,DF,70390039,SEPS 703/903,,Asa Sul,Quadra SEPS 703/903,
53001095,C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE,5300108,14,101,Outras posições,688.0769306930694,202.0,4.0,690.0,0.8289,Brasília,DF,70790140,SGAN 914,0,Asa Norte,Quadra SGAN 914,
53009592,COL NOSSA SENHORA DO PERPETUO SOCORRO,5300108,15,101,Outras posições,637.785,16.0,5.0,96.0,0.8279,Brasília,DF,71620060,SHIS QL 6,1,Setor de Habitações Individuais Sul,Quadra SHIS QL 6,
52083888,COLEGIO PROTAGORAS,5208707,9,63,Outras posições,637.6391666666667,168.0,5.0,512.0,0.8275,Goiânia,GO,74140020,PORTUGAL,990,Setor Oeste,Avenida Portugal,
43105149,COLEGIO BOM JESUS SEVIGNE,4314902,10,45,Outras posições,636.7216666666667,16.0,5.0,95.0,0.8246,Porto Alegre,RS,90010283,RUA DUQUE DE CAXIAS,1475,Centro Histórico,Rua Duque de Caxias,
31007498,COLEGIO FRANCISCANO CORACAO DE MARIA,3106200,17,88,Outras posições,636.2830769230769,26.0,5.0,89.0,0.8224,Belo Horizonte,MG,31535510,DESEMBARGADOR ONOFRE MENDES JUNIOR,63,São João Batista (Venda Nova),Rua Desembargador Onofre Mendes Júnior,
31004171,COLEGIO NOSSA SENHORA DAS DORES,3106200,18,88,Outras posições,636.1278947368421,38.0,5.0,108.0,0.8219,Belo Horizonte,MG,30150220,FRANCISCO SALES,77,Floresta,Avenida Francisco Sales,
43238203,COLEGIO JOAO PAULO,4314902,11,45,Outras posições,680.4651282051282,39.0,4.0,131.0,0.8216,Porto Alegre,RS,90550060,FILADELFIA,314,São João,Rua Filadélfia,
26117584,COLEGIO APOIO,2611606,10,70,Outras posições,679.5319999999999,40.0,4.0,107.0,0.8211,Recife,PE,52051440,CONSELHEIRO NABUCO,44,Casa Amarela,Rua Conselheiro Nabuco,
31006424,COLEGIO FRANCISCANO SAGRADA FAMILIA,3106200,19,88,Outras posições,635.8399999999999,55.0,5.0,191.0,0.8211,Belo Horizonte,MG,31230000,PRESIDENTE CARLOS LUZ,735,Caiçaras,Avenida Presidente Carlos Luz,
43203876,COLEGIO GABARITO ZONA NORTE,4314902,12,45,Outras posições,635.0711111111111,36.0,5.0,125.0,0.8187,Porto Alegre,RS,91110000,ASSIS BRASIL,4320,São Sebastião,Avenida Assis Brasil,
31385433,COLEGIO DETERMINANTE,3106200,20,88,Outras posições,677.4993333333333,30.0,4.0,99.0,0.818,Belo Horizonte,MG,30140131,RUA TOME DE SOUZA,701,Savassi,Rua Tomé de Souza,
43109330,SISTEMA EDUCACIONAL BOA VISTA,4314902,13,45,Outras posições,634.74,46.0,5.0,146.0,0.8167,Porto Alegre,RS,91340430,QUATORZE DE JULHO,687,Boa Vista,Rua Quatorze de Julho,
32041373,SOCIEDADE CULTURAL MONTEIRO LOBATO CEMS,3205309,9,16,Outras posições,634.2954545454545,22.0,5.0,65.0,0.8152,Vitória,ES,29050260,ENGENHEIRO GUILHERME JOSE MONJARDIM VAREJAO,20,Enseada do Suá,Rua Engenheiro Guilherme José Monjardim Varejão,
52091384,COLEGIO DEGRAUS,5208707,10,63,Outras posições,674.0981818181818,22.0,4.0,122.0,0.8141,Goiânia,GO,74303380,C97,309,Setor Sudoeste,Rua C97,
33055920,COLEGIO MV I ICARAI,3303302,6,38,Outras posições,633.487037037037,54.0,5.0,178.0,0.8122,Niterói,RJ,24230103,GAVIAO PEIXOTO,390,Icaraí,Rua Gavião Peixoto,
53005910,INST SAO JOSE,5300108,16,101,Outras posições,633.3026923076923,52.0,5.0,207.0,0.8115,Brasília,DF,73025040,QUADRA 4,01,Sobradinho,Quadra 4,
53001192,C EDUCACIONAL SAGRADA FAMILIA,5300108,17,101,Outras posições,632.9286956521739,23.0,5.0,97.0,0.8104,Brasília,DF,70790060,SGAN 906,,Asa Norte,Quadra SGAN 906,
26118262,COLEGIO VISAO,2611606,11,70,Outras posições,631.8330092592593,144.0,5.0,470.0,0.8072,Recife,PE,50771600,DOUTOR JOSE RUFINO,241,Jiquiá,Avenida Doutor José Rufino,
43105106,COL LA SALLE SAO JOAO,4314902,14,45,Outras posições,630.2153086419753,54.0,5.0,200.0,0.8021,Porto Alegre,RS,90550150,HONORIO SILVEIRA DIAS,645,São João,Rua Honório Silveira Dias,
26160307,COLEGIO MOTIVO,2611606,12,70,Outras posições,629.688,80.0,5.0,294.0,0.8004,Recife,PE,51160180,TENENTE MANOEL BARBOSA,32,Imbiribeira,Rua Tenente Manoel Barbosa,
35186429,EINSTEIN COLEGIO,3543402,6,34,Outras posições,663.7739233038349,113.0,4.0,459.0,0.7983,Ribeirão Preto,SP,14026040,BRAZ OLAIA ACOSTA,1380,Jardim Califórnia,Avenida Braz Olaia Acosta,
31374555,COLEGUIUM - INTERNACIONAL CIDADE NOVA,3106200,21,88,Outras posições,659.3384,25.0,4.0,100.0,0.7906,Belo Horizonte,MG,31160284,ENGENHEIRO BERNARDO SAYAO,280,União,Rua Engenheiro Bernardo Sayão,
