codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque
53015010,ESCOLA CANADENSE DE BRASILIA,5300108,15,98,Outras posições,False,654.8383333333333,12.0,4.0,94.0,0.8166
22310762,CEV COLEGIO,2211001,12,44,Outras posições,False,669.9781526104418,83.0,2.0,278.0,0.8154
33063710,COLEGIO SANTO ANTONIO MARIA ZACCARIA,3304557,41,308,Outras posições,False,643.1833333333333,18.0,5.0,52.0,0.8143
53019393,COL EVEREST BRASILIA II,5300108,16,98,Outras posições,False,652.0921637426901,57.0,4.0,185.0,0.814
53019733,COL FLEMING ASA SUL,5300108,17,98,Outras posições,False,682.2047619047619,21.0,2.0,51.0,0.8137
35004304,ESCOLA CONCEPT,3543402,6,30,Outras posições,False,665.0138461538462,13.0,3.0,59.0,0.8136
33100977,LICEU MOLIERE,3304557,42,308,Outras posições,False,648.0636363636363,11.0,5.0,125.0,0.8132
29477271,CURSO E COLEGIO LEFFLER,2927408,11,74,Outras posições,False,678.2965217391304,46.0,3.0,128.0,0.8121
52097676,COLEGIO SIMBIOS,5208707,12,59,Outras posições,False,674.4309186351707,127.0,3.0,428.0,0.811
25120298,CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA,2507507,6,49,Outras posições,False,696.4284099616858,348.0,1.0,1186.0,0.8103
24057207,COMPLEXO EDUC HENRIQUE CASTRICIANO,2408102,11,44,Outras posições,False,636.503,60.0,5.0,154.0,0.8096
22141251,INSTITUTO EDUCACIONAL SAO JOSE UNIDADE MOCAMBINHO,2211001,13,44,Outras posições,False,652.0964516129033,62.0,4.0,62.0,0.8086
31290157,COL CHROMOS PAMPULHA,3106200,20,80,Outras posições,False,656.5686666666667,90.0,4.0,549.0,0.8085
53012941,COLEGIO CIMAN,5300108,18,98,Outras posições,False,640.6300483091787,69.0,5.0,271.0,0.8085
26190451,COLEGIO GGE,2611606,13,67,Outras posições,False,676.2941158059468,213.0,3.0,586.0,0.8079
33111642,COLEGIO SANTA MONICA - TAQUARA,3304557,43,308,Outras posições,False,658.0307142857143,28.0,4.0,127.0,0.8078
31377759,COLEGUIUM - UNIDADE NOVA SUICA,3106200,21,80,Outras posições,False,661.694761904762,14.0,3.0,51.0,0.8063
35004801,COLEGIO ANGLO SAO PAULO,3550308,20,417,Outras posições,False,677.174606741573,89.0,2.0,328.0,0.8063
35102660,COLEGIO SANTO IVO,3550308,21,417,Outras posições,False,665.359696969697,22.0,4.0,109.0,0.8062
43105084,COL LA SALLE SANTO ANTONIO,4314902,12,44,Outras posições,False,651.700594059406,101.0,4.0,376.0,0.8062
22143459,CEV- COLEGIO UNIDADE 04,2211001,14,44,Outras posições,False,649.1135294117647,34.0,4.0,123.0,0.8047
35140065,INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM,3549904,6,20,Outras posições,False,697.0335483870969,31.0,2.0,104.0,0.8046
15172287,PHYSICS COLEGIO E CURSO,1501402,6,54,Outras posições,False,741.6864705882354,34.0,1.0,134.0,0.8034
31358428,COLEGUIUM - UNIDADE ALIPIO DE MELO,3106200,22,80,Outras posições,False,659.8189655172414,58.0,3.0,208.0,0.8015
43109330,SISTEMA EDUCACIONAL BOA VISTA,4314902,13,44,Outras posições,False,634.74,46.0,5.0,146.0,0.8012
35144952,ARGUMENTO COLEGIO,3550308,22,417,Outras posições,False,659.4363585434173,119.0,3.0,434.0,0.801
33177627,COLEGIO PH,3304557,44,308,Outras posições,False,659.3002531645569,79.0,3.0,240.0,0.8006
35118503,ALBERT SABIN ESCOLA DE ENSINO MEDIO,3543402,7,30,Outras posições,False,655.1941002949852,113.0,4.0,368.0,0.7994
21010064,UPAON EDUCACIONAL LTDA,2111300,7,43,Outras posições,False,634.2894444444444,72.0,5.0,283.0,0.7992
22138544,INSTITUTO SANTO AGOSTINHO,2211001,15,44,Outras posições,False,638.7951724137931,29.0,5.0,114.0,0.7992
31004278,ESCOLA SANTO TOMAS DE AQUINO,3106200,23,80,Outras posições,False,642.9140350877193,38.0,5.0,136.0,0.7987
33064024,EDEM,3304557,45,308,Outras posições,False,643.946,20.0,5.0,76.0,0.7981
33149780,SISTEMA ELITE DE ENSINO,3304557,46,308,Outras posições,False,690.0099999999999,12.0,2.0,329.0,0.7977
31170534,COLEGIO PIRLIMPIMPIM SAO PASCHOALL,3170206,6,17,Outras posições,False,654.4735714285715,28.0,4.0,152.0,0.7969
33064628,COLEGIO TTH BAR-ILAN,3304557,47,308,Outras posições,False,668.5020000000001,10.0,3.0,38.0,0.7963
35563006,ETAPA III COLEGIO,3550308,23,417,Outras posições,False,762.2793333333334,30.0,0.0,61.0,0.7962
